"Timestamp","Category","Message"
"2025/05/23-09:11:02","[ENTRY_CREATED]","Creating node but not connecting it: Parent ID: null → New Node: UEData {id=2, name='66fd8c76-8266-426e-9de6-a082fa8df17a', battery=75.01427714674244, signalStrength=11.2234, dataRate=145.234421, cqi=12, los=false, latitude=35.1532, longitude=33.33785, ip='172.18.0.3', port=50051, restPort=8888, isUEVBS=false}"
"2025/05/23-09:11:08","[ENTRY_CREATED]","Creating node but not connecting it: Parent ID: null → New Node: UEData {id=3, name='0ba7bcd6-e348-40f2-ba6e-ad245a100849', battery=75.01427714674244, signalStrength=11.2234, dataRate=145.234421, cqi=12, los=false, latitude=35.1532, longitude=33.33785, ip='172.18.0.10', port=50051, restPort=8888, isUEVBS=false}"
"2025/05/23-09:11:08","[ENTRY_CREATED]","Creating node but not connecting it: Parent ID: null → New Node: UEData {id=4, name='f2a6b8f0-7624-44d6-86a1-799019ceec01', battery=75.01427714674244, signalStrength=11.2234, dataRate=145.234421, cqi=12, los=false, latitude=35.1532, longitude=33.33785, ip='172.18.0.6', port=50051, restPort=8888, isUEVBS=false}"
"2025/05/23-09:11:08","[ENTRY_CREATED]","Creating node but not connecting it: Parent ID: null → New Node: UEData {id=5, name='3b5603b3-3dc5-4406-ac69-02e719e2891a', battery=75.01427714674244, signalStrength=11.2234, dataRate=145.234421, cqi=12, los=false, latitude=35.1532, longitude=33.33785, ip='172.18.0.4', port=50051, restPort=8888, isUEVBS=false}"
"2025/05/23-09:11:09","[ENTRY_CREATED]","Creating node but not connecting it: Parent ID: null → New Node: UEData {id=6, name='1c83510d-172d-4481-8cb1-e06f55d6674f', battery=75.01427714674244, signalStrength=11.2234, dataRate=145.234421, cqi=12, los=false, latitude=35.1532, longitude=33.33785, ip='172.18.0.7', port=50051, restPort=8888, isUEVBS=false}"
"2025/05/23-09:11:09","[ENTRY_CREATED]","Creating node but not connecting it: Parent ID: null → New Node: UEData {id=7, name='2f099ee0-ebf9-4d1c-bd31-3088642d7ed7', battery=75.01427714674244, signalStrength=11.2234, dataRate=145.234421, cqi=12, los=false, latitude=35.1532, longitude=33.33785, ip='172.18.0.5', port=50051, restPort=8888, isUEVBS=false}"
"2025/05/23-09:11:09","[ENTRY_CREATED]","Creating node but not connecting it: Parent ID: null → New Node: UEData {id=8, name='3567e9b4-ffa0-4464-9aa7-dcc042837ab4', battery=75.01427714674244, signalStrength=11.2234, dataRate=145.234421, cqi=12, los=false, latitude=35.1532, longitude=33.33785, ip='172.18.0.12', port=50051, restPort=8888, isUEVBS=false}"
"2025/05/23-09:11:09","[ENTRY_CREATED]","Creating node but not connecting it: Parent ID: null → New Node: UEData {id=9, name='9664f942-6d01-4b0f-b551-d9711b0e0f3b', battery=75.01427714674244, signalStrength=11.2234, dataRate=145.234421, cqi=12, los=false, latitude=35.1532, longitude=33.33785, ip='172.18.0.8', port=50051, restPort=8888, isUEVBS=false}"
"2025/05/23-09:11:09","[ENTRY_CREATED]","Creating node but not connecting it: Parent ID: null → New Node: UEData {id=10, name='d84b3e12-cf59-43d6-94e3-fe531a008ac5', battery=75.01427714674244, signalStrength=11.2234, dataRate=145.234421, cqi=12, los=false, latitude=35.1532, longitude=33.33785, ip='172.18.0.11', port=50051, restPort=8888, isUEVBS=false}"
"2025/05/23-09:11:11","[ENTRY_CREATED]","Creating node but not connecting it: Parent ID: null → New Node: UEData {id=11, name='6062305f-96af-4a77-874d-3c3eac201850', battery=75.01427714674244, signalStrength=11.2234, dataRate=145.234421, cqi=12, los=false, latitude=35.1532, longitude=33.33785, ip='172.18.0.9', port=50051, restPort=8888, isUEVBS=false}"
